termid,term,full_name,is_drug,do_not_define,start,end,def,sentenceid,sentence,lead_def
19180,exchange wire,,0,0,6,8,A guide wire used to help with placement of a medical device.,1834615,"An Accelerator 0.014 , 300 cm exchange wire was then advanced through the Rapid - Transit catheter into the A3 and A4 segments .",aguidewireusedtohelpwithplacementofamedicaldevice
21720,centimeter,,0,0,5,6,A unit of measurement-About half an inch.,1834615,"An Accelerator 0.014 , 300 cm exchange wire was then advanced through the Rapid - Transit catheter into the A3 and A4 segments .",aunitofmeasurementabouthalfaninch
11539,catheter,,0,0,16,17,A thin tube put into the body to remove fluid or provide fluids.,1834615,"An Accelerator 0.014 , 300 cm exchange wire was then advanced through the Rapid - Transit catheter into the A3 and A4 segments .",athintubeputintothebodytoremovefluidorprovidefluids
14934,segment,,0,0,22,23,Part of something.,1834615,"An Accelerator 0.014 , 300 cm exchange wire was then advanced through the Rapid - Transit catheter into the A3 and A4 segments .",partofsomething
10843,dopplers,,0,0,4,5,Using sound waves (ultrasound) to take a picture of the blood vessels and to measure the blood flow. It is done by placing a probe on the skin; nothing is put inside the body.,3148213,"The lower extremities venous Dopplers are consistent with DVT involving the left CFV , SFV , and popliteal vein preliminary .",usingsoundwavesultrasoundtotakeapictureofthebloodvesselsandtomeasurethebloodflowitisdonebyplacingaprobeontheskinnothingisputinsidethebody
2347,preliminary,,0,0,19,20,"Early, not final, initial.",3148213,"The lower extremities venous Dopplers are consistent with DVT involving the left CFV , SFV , and popliteal vein preliminary .",earlynotfinalinitial
10864,venous,,0,0,3,4,The blood vessels that return blood to the heart after the body's cells have used their oxygen.,3148213,"The lower extremities venous Dopplers are consistent with DVT involving the left CFV , SFV , and popliteal vein preliminary .",thebloodvesselsthatreturnbloodtotheheartafterthebodyscellshaveusedtheiroxygen
11390,lower extremities,,0,0,1,3,"The part of the body that includes the leg, ankle, and foot.",3148213,"The lower extremities venous Dopplers are consistent with DVT involving the left CFV , SFV , and popliteal vein preliminary .",thepartofthebodythatincludesthelegankleandfoot
11156,superficial femoral vein,,0,0,14,15,A vein in the leg.,3148213,"The lower extremities venous Dopplers are consistent with DVT involving the left CFV , SFV , and popliteal vein preliminary .",aveinintheleg
11744,deep vein thrombosis,,0,0,8,9,A blood clot that forms in a vein deep in the body.,3148213,"The lower extremities venous Dopplers are consistent with DVT involving the left CFV , SFV , and popliteal vein preliminary .",abloodclotthatformsinaveindeepinthebody
1062,popliteal vein,,0,0,17,19,"A blood vessel behind the knee. It carries blood from the lower leg into the femoral vein in the thigh, and eventually, back to the heart.",3148213,"The lower extremities venous Dopplers are consistent with DVT involving the left CFV , SFV , and popliteal vein preliminary .",abloodvesselbehindthekneeitcarriesbloodfromthelowerlegintothefemoralveininthethighandeventuallybacktotheheart
18424,consistent with,,0,0,6,8,Could be or is likely to be.,3148213,"The lower extremities venous Dopplers are consistent with DVT involving the left CFV , SFV , and popliteal vein preliminary .",couldbeorislikelytobe
12869,axial,,0,0,13,14,"Affecting the spine, chest and pelvis.",3098298,"TECHNIQUE : MRCP of the abdomen was performed using 3 plane localizer , axial and coronal single short fast spin - echo T2 , axial fat suppressed gradient echo T1 , thick slap MRCP weighted sequences .",affectingthespinechestandpelvis
12869,axial,,0,0,24,25,"Affecting the spine, chest and pelvis.",3098298,"TECHNIQUE : MRCP of the abdomen was performed using 3 plane localizer , axial and coronal single short fast spin - echo T2 , axial fat suppressed gradient echo T1 , thick slap MRCP weighted sequences .",affectingthespinechestandpelvis
13473,t2,,0,0,22,23,A method used in magnetic resoce imaging.,3098298,"TECHNIQUE : MRCP of the abdomen was performed using 3 plane localizer , axial and coronal single short fast spin - echo T2 , axial fat suppressed gradient echo T1 , thick slap MRCP weighted sequences .",amethodusedinmagneticresoceimaging
14884,plane,,0,0,10,11,A flattened or leveled surface.,3098298,"TECHNIQUE : MRCP of the abdomen was performed using 3 plane localizer , axial and coronal single short fast spin - echo T2 , axial fat suppressed gradient echo T1 , thick slap MRCP weighted sequences .",aflattenedorleveledsurface
12737,coronal,,0,0,15,16,"When making images of the body, a vertical plane running left to right that divides the body into front and back parts.",3098298,"TECHNIQUE : MRCP of the abdomen was performed using 3 plane localizer , axial and coronal single short fast spin - echo T2 , axial fat suppressed gradient echo T1 , thick slap MRCP weighted sequences .",whenmakingimagesofthebodyaverticalplanerunninglefttorightthatdividesthebodyintofrontandbackparts
13475,t1,first thoracic vertebra,0,0,29,30,The back bone at the top of the back.,3098298,"TECHNIQUE : MRCP of the abdomen was performed using 3 plane localizer , axial and coronal single short fast spin - echo T2 , axial fat suppressed gradient echo T1 , thick slap MRCP weighted sequences .",thebackboneatthetopoftheback
